group1,group2,meandiff,p-adj,lower,upper
0.3_70,0.5_90,4882.42,0.001,2498.6473,7266.1927
0.3_70,0.7_10,-14831.54,0.001,-17215.3127,-12447.7673
0.3_70,0.7_30,-9600.06,0.001,-11983.8327,-7216.2873
0.3_70,0.7_50,-4430.52,0.001,-6814.2927,-2046.7473
0.3_70,0.7_90,6026.2,0.001,3642.4273,8409.9727
0.3_70,0.9_10,-14909.98,0.001,-17293.7527,-12526.2073
0.3_70,0.9_30,-9788.66,0.001,-12172.4327,-7404.8873
0.3_70,0.9_50,-4531.76,0.001,-6915.5327,-2147.9873
0.3_70,0.9_90,5251.46,0.001,2867.6873,7635.2327
0.3_90,0.5_10,-19357.34,0.001,-21741.1127,-16973.5673
0.3_90,0.5_30,-14510.42,0.001,-16894.1927,-12126.6473
0.3_90,0.5_50,-9617.9,0.001,-12001.6727,-7234.1273
0.3_90,0.5_70,-4004.76,0.001,-6388.5327,-1620.9873
0.3_90,0.7_10,-19171.4,0.001,-21555.1727,-16787.6273
0.3_90,0.7_30,-13939.92,0.001,-16323.6927,-11556.1473
0.3_90,0.7_50,-8770.38,0.001,-11154.1527,-6386.6073
