instance_id,instance_number,method,B,S,P,init_time,phase2_time,repair_time,ls_time,total_time,phase2_obj,split_resolved_obj,post_repair_obj,post_ls_obj,num_split_bus,prop_split_bus,activity_violations_initial,risk_violations_initial,remaining_violations,ls_iterations,total_ls_improvement,successful_moves_simple,successful_moves_interchange,successful_moves_deactivate,status,error_message
inst_23_first_instance_set_medium_2000_400_30,23,multi_p_median_benders,2000,400,30,142.86899995803833,5.614000082015991,0.01699995994567871,3.3259999752044678,151.85400009155273,1.4352823156058856e6,1.434758e6,1.435225e6,1.410756e6,82,0.041,0,1,0,2,24469.0,1,1,0,success,
inst_24_first_instance_set_medium_2000_400_30,24,relaxed,2000,400,30,307.92000007629395,6.444000005722046,0.01900005340576172,16.075000047683716,330.4839999675751,2.399336368247265e6,2.402224e6,2.407196e6,1.882639e6,88,0.044,0,3,0,4,524557.0,3,3,1,success,
inst_24_first_instance_set_medium_2000_400_30,24,pdisp,2000,400,30,0.002000093460083008,5.296000003814697,0.009999990463256836,52.644999980926514,57.99600005149841,2.8796576643061386e6,2.87991e6,2.883207e6,1.620037e6,86,0.043,0,2,0,6,1.26317e6,5,5,4,success,
inst_24_first_instance_set_medium_2000_400_30,24,multi_pdp,2000,400,30,300.3100001811981,6.581999778747559,0.009000062942504883,16.161999940872192,323.09800004959106,1.8172882668482976e6,1.816722e6,1.818508e6,1.639447e6,82,0.041,0,1,0,4,179061.0,3,3,1,success,
inst_24_first_instance_set_medium_2000_400_30,24,multi_p_median,2000,400,30,305.10199999809265,6.447000026702881,0.004000186920166016,6.9070000648498535,318.4869999885559,1.4496379674300693e6,1.44955e6,1.44955e6,1.416456e6,82,0.041,0,0,0,3,33094.0,2,2,0,success,
inst_24_first_instance_set_medium_2000_400_30,24,multi_p_median_benders,2000,400,30,150.84799981117249,5.767000198364258,0.017999887466430664,6.36899995803833,163.0239999294281,1.4551344423021632e6,1.456389e6,1.456389e6,1.418824e6,82,0.041,0,0,0,3,37565.0,2,1,0,success,
inst_25_first_instance_set_medium_2000_400_30,25,relaxed,2000,400,30,307.4069998264313,6.615000009536743,0.019999980926513672,39.24300003051758,353.32599997520447,2.3474663231976875e6,2.342052e6,2.34391e6,1.886102e6,85,0.0425,0,3,0,5,457808.0,4,4,2,success,
inst_25_first_instance_set_medium_2000_400_30,25,pdisp,2000,400,30,0.002000093460083008,5.293999910354614,0.009000062942504883,58.62400007247925,63.950000047683716,2.763727300109621e6,2.762356e6,2.765662e6,1.792037e6,87,0.0435,0,3,0,9,973625.0,8,8,4,success,
inst_25_first_instance_set_medium_2000_400_30,25,multi_pdp,2000,400,30,300.279000043869,6.585999965667725,0.06800007820129395,21.88100004196167,328.84299993515015,1.836663581040684e6,1.834962e6,1.835689e6,1.529027e6,79,0.0395,0,1,0,5,306662.0,4,4,2,success,
inst_25_first_instance_set_medium_2000_400_30,25,multi_p_median,2000,400,30,108.70099997520447,6.19599986076355,0.01900005340576172,6.448999881744385,121.38899993896484,1.4835336149203742e6,1.483539e6,1.483539e6,1.439764e6,70,0.035,0,0,0,3,43775.0,2,2,1,success,
inst_25_first_instance_set_medium_2000_400_30,25,multi_p_median_benders,2000,400,30,118.71099996566772,5.455000162124634,0.003999948501586914,6.465000152587891,130.67900013923645,1.4835336149203742e6,1.483539e6,1.483539e6,1.439764e6,70,0.035,0,0,0,3,43775.0,2,2,1,success,
inst_2_first_instance_set_medium_2000_400_30,2,relaxed,2000,400,30,0.0,0.0,0.0,0.0,307.1670000553131,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,error,Result index of attribute MathOptInterface.VariablePrimal(1) out of bounds. There are currently 0 solution(s) in the model.
inst_2_first_instance_set_medium_2000_400_30,2,pdisp,2000,400,30,0.0019998550415039062,6.897000074386597,0.018000125885009766,28.407999992370605,35.348000049591064,2.4936288989707096e6,2.494761e6,2.495922e6,1.609188e6,84,0.042,0,1,0,5,886734.0,4,4,2,success,
inst_2_first_instance_set_medium_2000_400_30,2,multi_pdp,2000,400,30,300.28000020980835,6.182999849319458,0.005000114440917969,21.36299991607666,327.8900001049042,1.7758979276933116e6,1.776715e6,1.776715e6,1.52132e6,80,0.04,0,0,0,4,255395.0,3,3,2,success,
inst_2_first_instance_set_medium_2000_400_30,2,multi_p_median,2000,400,30,189.84899997711182,6.303999900817871,0.018000125885009766,5.257999897003174,201.47299981117249,1.4245887349075135e6,1.423593e6,1.423593e6,1.401685e6,77,0.0385,0,0,0,3,21908.0,2,2,0,success,
